SNo,Startup Name,Industry/Sector,City,Investors Name,InvestmentType,Amount(USD),Date
649,Zomato,Media & Entertainment,Gurgaon,"Lightspeed Venture Partners, tiger global",Bridge,"USD 6,000,000",2023-11-13
1354,MobiKwik,Media & Entertainment,Hyderabad,Falcon Edge,Series D,N/A,21/01/2020
837,,,,,,,
978,Vedantu,FinTech,New delhi,"SOFTBANK, info edge ventures",Series C,"$30,000,000.00",2020/01/02
731,Innovaccer,FoodTech,Madras,Tiger Global,Private Equity,,12-22-2025
733,Urban Company,Logistics,bangalore,IDG Ventures,Bridge,"USD 50,000,000",15/08/2024
92,Dailyhunt,Cleantech,noida,"y combinator, Tiger Global Management",Series A,"₹1,660,000,000",2023-08-08
143,Delhivery,AgriTech,Calcutta,Blume,Pre-Seed,,10-Apr-2020
563,khatabook,InsurTech,PUNE,"Accel Partners, Tiger Global",Pre-Seed,"100,000",2024-04-15
1067,Licious,InsurTech,NCR,"Elevation Capital, nexus partners",Bridge,,
349,elasticrun,Retail Tech,Gurgaon,Elevation Capital,Seed,Undisclosed,09-Apr-2020
465,Pine Labs,HealthTech,Noida,SOFTBANK,Pre-Seed,N/A,2025-05-12
510,Udaan,E-Commerce,Bengaluru,"Soft Bank, Lightspeed",Private Equity,"$10,000,000.00",01/06/2021
21, Groww ,AgriTech,New Delhi,SOFTBANK,Pre-Seed,"4,300,000",2024-04-15
788,ShareChat,InsurTech,Gurgaon,"Matrix Partners India, falcon edge",Pre-Seed,,03-12-2022
571,Dailyhunt,Mobility,Gurugram,"Lightspeed, SoftBank",Seed,Undisclosed,10/08/2023
223,Dailyhunt,FoodTech,Kolkata,"Matrix Partners India, Falcon Edge Capital",Series B,Undisclosed,2021-09-26
329,PolicyBazaar,AI/ML,Gurgaon,lightspeed india,Seed,N/A,2021/02/04
938,Mamaearth,Real Estate Tech,PUNE,"Lightspeed, y combinator",Private Equity,"₹157,700,000",2021-05-01
1333,Apna,AgriTech,Madras,"Chiratae Ventures, Sequoia Capital India",Series C,"USD 20,000,000",2025/08/04
175,Physicswallah,AgriTech,pune,"sequoia capital india, Tiger Global Management",Series B,"$2,700,000",04-15-2024
44,upGrad,HealthTech,gurugram,Nexus Venture Partners,Debt Financing,"1,500,000",01/09/2020
374,Groww,InsurTech,Madras,Steadview Capital,Series A,N/A,17/05/2021
514,Licious,FoodTech,Bombay,"Sequoia Capital India, Nexus Venture",Series B,"USD 30,000,000",04-27-2021
1234,Unacademy,InsurTech,Pune,"sequoia capital india, Info Edge",Bridge,"7,000,000",26-Dec-2024
1481,Zetwerk,,Delhi,matrix partners,Pre-Seed,"30,000,000",2025-12-29
1217,Swiggy,FoodTech,Delhi,"Info Edge, IDG Ventures",Seed,"$50,000,000",11/07/2022
1263,Postman,AI/ML,noida,"InfoEdge, Y Combinator",Series D,"$30,000,000.00",2020/07/19
928,PHYSICSWALLAH,Retail Tech,kolkata,Chiratae Ventures,Series E,"$19,000,000",12-19-2025
1452,groww,Real Estate Tech,PUNE,"SAIF Partners, Info Edge",Series C,"$1,000,000.00",2023/10/04
110,ElasticRun,Gaming,Pune,"InfoEdge, Nexus Venture Partners",Series D,Undisclosed,16-Nov-2022
65,Razorpay,Cleantech,noida,blume ventures,Series C,Undisclosed,2020-05-07
1429,Khatabook,InsurTech,NOIDA,"nexus partners, Accel India",Angel,"$2,500,000",2022-04-30
307,Dunzo,EdTech,NCR,"info edge ventures, Chiratae",Bridge,,17/03/2020
405,Slice,Logistics,Bombay,"Steadview, y combinator",Private Equity,"USD 12,000,000",28-Jun-2025
797,Acko,Cleantech,kolkata,"Tiger Global Management, Kalaari Capital",Series E,"$40,000,000.00",06-24-2020
1224,Innovaccer,Gaming,Hyderabad,SoftBank,Series A,"$8,000,000",2023-07-25
1412,Delhivery,Media & Entertainment,Madras,"InfoEdge, nexus partners",Seed,,2021/01/18
140,Khatabook,AgriTech,hyderabad,"lightspeed india, Tiger Global",Private Equity,Undisclosed,08-May-2022
1338,CarDekho,Cleantech,Madras,"Chiratae Ventures, falcon edge",Bridge,"$10,000,000.00",2021/05/28
1435,MobiKwik,Retail Tech,mumbai,"SoftBank, falcon edge",Series A,"40,000,000",2023/11/29
689,BharatPe,Logistics,Ahmedabad,"Blume Ventures, Kalaari",Angel,,28-Mar-2024
274,Postman,InsurTech,Delhi,"Y Combinator, Kalaari",Series A,Undisclosed,2021/09/23
984,Innovaccer,AgriTech,ahmedabad,"Matrix Partners India, falcon edge",Series D,"₹249,000,000",2023-07-08
981,Zetwerk,E-Commerce,chennai,Info Edge,Series E,"₹149,400,000",2021/05/25
42,Cars24,E-Commerce,kolkata,y combinator,Pre-Seed,N/A,2023/06/04
1124,Digit Insurance,E-Commerce,Bengaluru,"Matrix Partners, info edge ventures",Private Equity,,2024/09/24
867,Khatabook,FinTech,Gurugram,Nexus Venture Partners,Series E,"1,400,000",02-19-2024
600,SHARECHAT,Mobility,Calcutta,"Falcon Edge Capital, tiger global",Series B,"$19,000,000.00",02-14-2023
251,Apna,,NOIDA,Blume Ventures,Series D,"USD 20,000,000",17-Jul-2023
41,Dunzo,AI/ML,Hyderabad,"Chiratae Ventures, Blume Ventures",Pre-Seed,"$50,000,000",13/09/2021
989, Unacademy ,AgriTech,hyderabad,"y combinator, Softbank Vision Fund",Pre-Seed,N/A,2023/09/30
909,Licious,Real Estate Tech,ahmedabad,SAIF Partners,Seed,"1,000,000",2021/08/06
280,Digit Insurance,Gaming,Calcutta,Tiger Global,Bridge,,20/10/2022
268,MobiKwik,Media & Entertainment,noida,Lightspeed Venture Partners,Series B,Undisclosed,13/01/2022
335,CRED,Mobility,kolkata,"YC, info edge ventures",Series C,"USD 18,000,000",09-May-2023
918,REBEL FOODS,AgriTech,Calcutta,"blume ventures, Falcon Edge",Pre-Seed,"7,000,000",04-30-2023
1139, Freshworks ,Media & Entertainment,pune,"YC, Accel India",Series B,"3,400,000",16/01/2022
498,Mamaearth,Logistics,Gurgaon,Info Edge,Bridge,"$30,000,000.00",2020/03/29
990,Digit Insurance,Retail Tech,New Delhi,Matrix Partners,Bridge,N/A,07-04-2021
762,darwinbox,FoodTech,New Delhi,"Soft Bank, falcon edge",Series D,"$10,000,000.00",2024-12-27
1366, Dunzo ,Retail Tech,NOIDA,"Falcon Edge Capital, YC",Seed,"$3,700,000",18-Oct-2020
384,apna,FoodTech,Bengaluru ,"Accel India, Elevation",Angel,"$40,000,000",09/11/2025
248,CarDekho,Media & Entertainment,Gurugram,Kalaari Capital,Angel,"$20,000,000",2021-10-06
450,Cars24,EdTech,chennai,Elevation Capital,Series A,Undisclosed,2023/09/18
1410,MobiKwik,AgriTech,New delhi,Tiger Global,Series B,"₹830,000,000",08-23-2025
342,physicswallah,HealthTech,pune,Accel Partners,Debt Financing,"USD 30,000,000",16/03/2025
1026,ElasticRun,FoodTech,Hyderabad ,"blume ventures, Elevation",Seed,"10,000,000",19/12/2024
1231,Digit Insurance,,Bengaluru,Matrix Partners India,Seed,"$3,800,000.00",30-Sep-2020
651,oyo,InsurTech,Hyderabad ,"y combinator, steadview capital",Bridge,"USD 1,400,000",2021/01/09
992,Darwinbox,Logistics,Gurugram,"Blume Ventures, YC",Bridge,N/A,07/11/2020
1087,APNA,FoodTech,Gurgaon,Kalaari Capital,Seed,N/A,17/03/2021
1138,Ola Electric,FoodTech,Delhi,"steadview capital, falcon edge",Angel,"USD 3,000,000",2025-01-24
1436,Delhivery,AI/ML,bangalore,Tiger Global,Seed,"USD 20,000,000",2020/02/04
1200,Postman,E-Commerce,hyderabad,"Chiratae Ventures, SAIF Partners",Private Equity,N/A,18/03/2020
1428,boAt,SaaS,pune,"Chiratae Ventures, Falcon Edge Capital",Series E,"USD 50,000,000",07-Jan-2024
1241,MobiKwik,E-Commerce,Pune,"Matrix Partners India, Accel Partners",Pre-Seed,Undisclosed,10-Dec-2023
1156,Zepto,Logistics,delhi,"Sequoia Capital India, Kalaari Capital",Pre-Seed,"$1,700,000.00",12-27-2021
51,CarDekho,Cleantech,NCR,"lightspeed india, Falcon Edge",Bridge,N/A,
693,upGrad,E-Commerce,Kolkata,Accel India,Series A,"2,900,000",2022/05/30
1056,Moglix,FoodTech,Madras,"matrix partners, IDG Ventures",Angel,"USD 2,000,000",2021-11-01
1347,ZERODHA,EdTech,kolkata,tiger global,Debt Financing,"USD 8,000,000",12-11-2020
734,Nykaa,Gaming,hyderabad,"InfoEdge, accel india",Series A,"USD 30,000,000",2021-06-11
582,Freshworks,Retail Tech,Mumbai,Accel Partners,Seed,"300,000",2025-12-19
50,upGrad,Logistics,Chennai,Chiratae Ventures,Series D,"₹2,490,000,000",01-11-2020
1380,Cars24,Mobility,bangalore,"Info Edge, Softbank Vision Fund",Seed,,2025/06/27
1330,Slice,HealthTech,kolkata,Falcon Edge,Series D,"USD 2,000,000",2021-03-04
1107,digit insurance,E-Commerce,MUMBAI,"Soft Bank, IDG Ventures",Private Equity,"30,000,000",2021/10/20
757,Innovaccer,AgriTech,Chennai,"Accel India, Nexus Venture",Bridge,Undisclosed,01-29-2024
1057,Moglix,Logistics,GGN,Kalaari,Pre-Seed,"USD 4,400,000",2025-04-01
792,ShareChat,E-Commerce,bangalore,nexus partners,Series E,"$40,000,000",2023-05-03
1082,boAt,E-Commerce,Delhi,"Lightspeed, Chiratae",Debt Financing,,13-Oct-2023
1085,CARDEKHO,InsurTech,Kolkata,"Steadview Capital, info edge ventures",Series D,"2,500,000",18-Jun-2025
1306,Byju's,FinTech,mumbai,"Steadview Capital, Info Edge",Series C,"₹1,411,000,000",08/12/2021
664,POLICYBAZAAR,Cleantech,gurugram,"Blume, Elevation",Seed,N/A,2023/01/08
537,Vedantu,Cleantech,Mumbai,"SOFTBANK, Tiger Global",Series B,Undisclosed,02-Oct-2024
988,ShareChat,FinTech,pune,"Blume, YC",Debt Financing,,23/06/2022
1434,Freshworks,AgriTech,Hyderabad ,lightspeed india,Private Equity,"$50,000,000",2022-07-31
836,Physicswallah,InsurTech,pune,Matrix Partners,Series B,N/A,13-Sep-2021
1045,PolicyBazaar,AI/ML,BLR,"Info Edge, Soft Bank",Series E,"₹2,490,000,000",11-09-2022
159,Urban Company,HealthTech,mumbai,"Lightspeed, Nexus Venture Partners",Series C,"₹1,660,000,000",04-19-2020
812,Swiggy,Real Estate Tech,Chennai,"nexus partners, Blume Ventures",Series B,"$20,000,000.00",2022/09/15
750,Chargebee,HealthTech,New delhi,"SAIF Partners, Steadview",Series D,"₹2,490,000,000",2021-03-20
590,Darwinbox,FoodTech,pune,"Sequoia Capital, Blume Ventures",Series D,"₹332,000,000",21-Jan-2020
336,CRED,AI/ML,Gurgaon,steadview capital,Series C,"₹830,000,000",2025/08/08
88,Infra.Market,Logistics,,"Accel India, Kalaari Capital",Angel,"3,000,000",2025/11/24
1273,Vernacular.ai,Mobility,MUMBAI,IDG Ventures,Private Equity,N/A,
197,Physicswallah,InsurTech,,"falcon edge, SAIF Partners",Series D,,02-06-2023
406,Rebel Foods,HealthTech,chennai,"Elevation Capital, Nexus Venture Partners",Debt Financing,"$20,000,000.00",2025/07/21
1081,DUNZO,Logistics,Delhi,Matrix Partners India,Private Equity,"$2,800,000.00",2022/07/04
1030,Ola Electric,HealthTech,kolkata,"matrix partners, Sequoia",Bridge,"USD 20,000,000",2022/03/04
189,Zepto,Logistics,ahmedabad,Tiger Global Management,Debt Financing,Undisclosed,2020/02/20
517,Dailyhunt,Gaming,MUMBAI,"SOFTBANK, info edge ventures",Pre-Seed,"USD 100,000",2023-03-12
360,FirstCry,EdTech,hyderabad,"Lightspeed, Nexus Venture Partners",Series D,"12,000,000",02-Jun-2022
1226,CRED,AgriTech,PUNE,"Steadview Capital, falcon edge",Series B,Undisclosed,2025-07-10
580,Khatabook,E-Commerce,NCR,Accel Partners,Bridge,Undisclosed,12-12-2023
1407,Unacademy,E-Commerce,pune,"Info Edge, Sequoia",Series C,"$40,000,000",03-21-2023
821,CRED,Gaming,Noida,"Accel India, info edge ventures",Series B,"$1,200,000",09-05-2022
1460,Dailyhunt,SaaS,Pune,matrix partners,Series E,"$600,000.00",2024/02/21
775,Dailyhunt,Logistics,Ahmedabad,Nexus Venture,Series B,Undisclosed,25/05/2024
614,Apna,AI/ML,Mumbai,Matrix Partners India,Private Equity,"₹207,500,000",
1435,MobiKwik,Retail Tech,mumbai,"SoftBank, falcon edge",Series A,"40,000,000",2023/11/29
1300,Vernacular.ai,Logistics,NCR,"Accel Partners, InfoEdge",Debt Financing,"₹166,000,000",2025-05-12
1033, Swiggy ,EdTech,Madras,Sequoia Capital India,Debt Financing,"1,700,000",28-Dec-2020
627,Razorpay,Logistics,Calcutta,"Lightspeed, Softbank Vision Fund",Series D,"30,000,000",2020-07-04
1399,PharmEasy,InsurTech,NOIDA,"Sequoia Capital India, nexus partners",Pre-Seed,"$1,400,000.00",23-Mar-2022
1262,Khatabook,Retail Tech,New Delhi,"kalaari capital, info edge ventures",Series B,"USD 3,800,000",2023/08/06
1437,Physicswallah,Media & Entertainment,Delhi,Steadview,Series B,Undisclosed,07-29-2024
1115,Innovaccer,InsurTech,New delhi,SOFTBANK,Bridge,"$50,000,000.00",11-07-2023
367,Innovaccer,E-Commerce,chennai,Chiratae Ventures,Seed,,23-Jul-2021
74,Moglix,EdTech,Chennai,Chiratae,Private Equity,N/A,2023-03-31
326,Cars24,Cleantech,New delhi,"tiger global, Softbank Vision Fund",Bridge,Undisclosed,16/11/2021
1166,Postman,Retail Tech,New Delhi,Info Edge,Debt Financing,"₹747,000,000",2020/04/06
1207,Moglix,Real Estate Tech,chennai,"Falcon Edge, Kalaari",Series E,"9,000,000",23/04/2020
1313,ElasticRun,HealthTech,Noida,"accel india, sequoia capital india",Series B,"$1,400,000.00",07-04-2020
1065,Moglix,Logistics,New Delhi,"Nexus Venture, Sequoia",Private Equity,"$30,000,000",14/05/2024
230,Innovaccer,AgriTech,NCR,"Elevation, SOFTBANK",Seed,"$3,600,000",2020/01/21
1215,Infra.Market,Retail Tech,noida,Blume Ventures,Debt Financing,Undisclosed,2022/12/20
1401,Mamaearth,AgriTech,Ahmedabad,Accel,Series D,N/A,2024/04/05
435,apna,InsurTech,Bombay,"Falcon Edge Capital, Nexus Venture",Seed,"8,000,000",2022/10/05
505,PharmEasy,Media & Entertainment,Hyderabad ,accel india,Seed,"$10,000,000.00",07-01-2025
634,Zepto,FinTech,Gurgaon,Elevation Capital,Series D,Undisclosed,03/03/2023
1250,Vedantu,FinTech,Madras,"Chiratae, Falcon Edge Capital",Seed,"$50,000,000.00",17/01/2023
1069,Chargebee,Mobility,Delhi,Y Combinator,Seed,"$1,700,000",2020/10/18
668,FIRSTCRY,FoodTech,gurugram,kalaari capital,Pre-Seed,"USD 8,000,000",30/06/2020
124,CarDekho,InsurTech,kolkata,"Soft Bank, Matrix Partners",Debt Financing,"$8,000,000.00",2025-03-11
1172,Byju's,Gaming,Gurgaon,Steadview Capital,Bridge,,2021/01/13
455,Groww,Logistics,Gurgaon,"Lightspeed, kalaari capital",Series C,"₹24,900,000",08-31-2021
439,Digit Insurance,Logistics,Bengaluru ,Elevation Capital,Pre-Seed,"40,000,000",
1192,Unacademy,,ahmedabad,"y combinator, Tiger Global",Bridge,N/A,2021-03-10
738,Razorpay,Retail Tech,New Delhi,Chiratae Ventures,Seed,"16,000,000",20-Jan-2021
1244,Udaan,Retail Tech,Ahmedabad,"Blume, SAIF Partners",Series C,"40,000,000",09/07/2021
1298,BHARATPE,Cleantech,mumbai,y combinator,Bridge,"₹913,000,000",02/11/2023
1031,Lenskart,AgriTech,Bangalore,"Nexus Venture Partners, YC",Series E,,2020-02-15
744,CarDekho,E-Commerce,Kolkata,"info edge ventures, falcon edge",Debt Financing,"USD 50,000,000",03-03-2023
1351,mobikwik,Cleantech,Bangalore,"lightspeed india, steadview capital",Series B,"USD 4,000,000",2022/04/22
1337,PharmEasy,Retail Tech,,Softbank Vision Fund,Series A,"40,000,000",2023-03-20
90,Vernacular.ai,AI/ML,NOIDA,tiger global,Bridge,"USD 300,000",06-20-2020
898,FirstCry,FinTech,GGN,"Matrix Partners India, steadview capital",Series A,"USD 10,000,000",05-23-2024
469,Chargebee,Retail Tech,Kolkata,Y Combinator,Debt Financing,"$11,000,000.00",01/11/2022
1421,Ola Electric,FoodTech,Hyderabad,"Matrix Partners, Nexus Venture Partners",Seed,Undisclosed,2021-05-27
551,Acko,EdTech,Ahmedabad,steadview capital,Seed,"$4,000,000.00",2024-06-23
282, Rebel Foods ,Retail Tech,mumbai,SAIF Partners,Pre-Seed,,09-04-2021
1365,Swiggy,E-Commerce,Chennai,Tiger Global Management,Series C,"$30,000,000",29/11/2020
1160,Zomato,FinTech,Noida,Accel Partners,Angel,"2,900,000",2022/04/16
717,Zepto,EdTech,Gurgaon,Kalaari,Bridge,Undisclosed,29-May-2022
516,Dailyhunt,InsurTech,Hyderabad,"Accel, Tiger Global Management",Series A,"₹1,660,000,000",15-Jul-2022
1449,MobiKwik,Cleantech,GGN,"Falcon Edge Capital, Lightspeed Venture Partners",Seed,Undisclosed,2020/01/19
1134,Zetwerk,AgriTech,NOIDA,Lightspeed,Angel,N/A,2025-07-26
615,LICIOUS,SaaS,Chennai,Elevation,Seed,,2022/12/11
876,Apna,AgriTech,BLR,SAIF Partners,Seed,"7,000,000",2020/12/29
1295,Rebel Foods,Cleantech,Gurgaon,steadview capital,Private Equity,"$20,000,000.00",2022/05/11
1357,Meesho,Gaming,noida,"IDG Ventures, Kalaari",Series B,N/A,25/07/2023
353,Innovaccer,Media & Entertainment,NOIDA,Accel India,Series A,"13,000,000",23/03/2021
1272,Chargebee,Retail Tech,BLR,"Chiratae Ventures, SOFTBANK",Series A,"16,000,000",19-Oct-2020
490,APNA,Gaming,noida,"lightspeed india, InfoEdge",Series E,"$12,000,000",12-29-2023
84,Khatabook,AI/ML,noida,"Softbank Vision Fund, IDG Ventures",Series B,"2,000,000",2025-10-14
206,PharmEasy,Gaming,NOIDA,Matrix Partners India,Angel,"$30,000,000.00",2024-09-11
1194,Swiggy,InsurTech,ahmedabad,"matrix partners, Nexus Venture",Seed,N/A,29/04/2021
366,Innovaccer,Mobility,Delhi,"Lightspeed, YC",Series E,"USD 1,100,000",2022/02/10
237,Meesho,Gaming,PUNE,nexus partners,Pre-Seed,"₹830,000,000",21/03/2024
885,NYKAA,E-Commerce,Calcutta,"Matrix Partners, Softbank Vision Fund",Private Equity,"₹1,577,000,000",2025/07/04
995,Razorpay,E-Commerce,New Delhi,"matrix partners, y combinator",Bridge,Undisclosed,18/06/2024
1239,Apna,Logistics,Madras,"Steadview Capital, Blume Ventures",Debt Financing,"$10,000,000",2020/01/14
1093,DIGIT INSURANCE,Real Estate Tech,chennai,"steadview capital, matrix partners",Series B,"USD 20,000,000",2025/01/22
753,PolicyBazaar,InsurTech,delhi,Softbank Vision Fund,Series E,"15,000,000",2022/10/03
334,Postman,Cleantech,noida,Falcon Edge Capital,Seed,,09-27-2023
735,dunzo,Real Estate Tech,mumbai,Blume,Private Equity,Undisclosed,2024-11-21
288,Udaan,EdTech,NOIDA,nexus partners,Series D,"₹356,900,000",02/05/2024
752, Groww ,AI/ML,Ahmedabad,Y Combinator,Series E,,24/10/2022
276,LICIOUS,HealthTech,Bengaluru,blume ventures,Seed,"$18,000,000",
1415,Slice,SaaS,noida,"Falcon Edge Capital, Sequoia Capital",Private Equity,,04-11-2024
225,Licious,SaaS,hyderabad,y combinator,Debt Financing,,30/12/2024
565,OYO,E-Commerce,MUMBAI,Tiger Global,Series D,Undisclosed,20/01/2024
332,Ola Electric,Gaming,Pune,"info edge ventures, Accel India",Series B,N/A,2022/06/13
286,Lenskart,Logistics,Mumbai,Kalaari Capital,Series D,Undisclosed,2025-04-13
1389,ElasticRun,Real Estate Tech,Hyderabad,"Kalaari, tiger global",Series E,"$30,000,000",22/04/2024
1105,Vernacular.ai,InsurTech,chennai,"steadview capital, Matrix Partners",Private Equity,"$5,000,000.00",2021/04/02
19,Ola Electric,HealthTech,chennai,"y combinator, SOFTBANK",Series B,N/A,2020-02-09
996,Moglix,FoodTech,Noida,"Elevation Capital, Soft Bank",Series E,"4,600,000",04/05/2024
508,MobiKwik,Logistics,hyderabad,Tiger Global Management,Series A,"4,000,000",2023-09-11
832,Unacademy,Media & Entertainment,Chennai,InfoEdge,Series D,Undisclosed,01/03/2024
420,CARS24,Logistics,kolkata,YC,Pre-Seed,,01-May-2020
497,Pine Labs,AgriTech,NOIDA,"SoftBank, steadview capital",Series E,Undisclosed,02-Jun-2022
1489,OYO,AI/ML,delhi,falcon edge,Private Equity,Undisclosed,02-09-2022
698,BharatPe,Mobility,delhi,"Chiratae, Steadview",Series D,"$19,000,000",2024-07-13
306,Digit Insurance,Media & Entertainment,Pune,"Y Combinator, sequoia capital india",Series E,"$2,600,000.00",03-05-2022
899,Razorpay,Media & Entertainment,Ahmedabad,"Tiger Global Management, Falcon Edge Capital",Series C,"$17,000,000",24-Jul-2021
549,Groww,Media & Entertainment,Kolkata,"Lightspeed, Softbank Vision Fund",Series A,"19,000,000",18/10/2020
438,PolicyBazaar,E-Commerce,New delhi,"accel india, kalaari capital",Series E,"USD 9,000,000",08-10-2023
352,Apna,SaaS,gurugram,"Falcon Edge, Elevation",Seed,Undisclosed,2025/08/15
527,PolicyBazaar,Gaming,,kalaari capital,Seed,"₹4,150,000,000",27/05/2023
1328,rebel foods,Media & Entertainment,ahmedabad,Steadview,Seed,N/A,25/10/2025
448, Meesho ,FinTech,Ahmedabad,info edge ventures,Series B,N/A,2025/05/25
961,PolicyBazaar,Cleantech,ahmedabad,"Kalaari, Tiger Global Management",Private Equity,N/A,07/12/2021
824,Licious,InsurTech,ahmedabad,SAIF Partners,Series A,,
383,Meesho,Real Estate Tech,Pune,"Nexus Venture, Accel Partners",Angel,,30-Mar-2022
905,FirstCry,EdTech,kolkata,YC,Series D,Undisclosed,2022/11/11
158,BharatPe,Logistics,Chennai,tiger global,Private Equity,,22/05/2022
224,Zepto,Media & Entertainment,NOIDA,y combinator,Series E,"20,000,000",31/08/2025
1367,Delhivery,HealthTech,,"kalaari capital, SAIF Partners",Angel,"₹356,900,000",2021-10-23
1155,Infra.Market,Cleantech,ahmedabad,SOFTBANK,Series E,"50,000,000",2020/08/31
783,upGrad,Gaming,GGN,Lightspeed Venture Partners,Series A,,08-03-2021
1316,boAt,InsurTech,noida,Kalaari,Bridge,"$8,000,000",2023/10/11
2,Darwinbox,SaaS,kolkata,"Y Combinator, Chiratae Ventures",Pre-Seed,,2021-02-22
550,Delhivery,AI/ML,Delhi,"sequoia capital india, Lightspeed",Pre-Seed,,2024-03-10
1008,Pine Labs,Logistics,Madras,"Soft Bank, Nexus Venture Partners",Debt Financing,"40,000,000",2025/04/19
1078,Razorpay,Media & Entertainment,Ahmedabad,y combinator,Series C,Undisclosed,13/03/2023
539,CRED,AgriTech,Hyderabad,lightspeed india,Bridge,,07-24-2021
1197,Moglix,Retail Tech,Ahmedabad,"Chiratae Ventures, Accel",Series A,,05-08-2024
1010,Apna,Mobility,NOIDA,Nexus Venture Partners,Series D,,2021-07-24
800,Digit Insurance,SaaS,Bengaluru ,"SOFTBANK, Tiger Global",Pre-Seed,"50,000,000",
1027,boAt,Mobility,Bengaluru,Sequoia Capital,Pre-Seed,"$20,000,000",2022/04/12
1311,ola electric,InsurTech,kolkata,"Y Combinator, Falcon Edge",Angel,N/A,12-16-2023
680, Dailyhunt ,FoodTech,Madras,nexus partners,Series D,,2025/08/19
793,Urban Company,E-Commerce,BLR,tiger global,Series C,"₹1,577,000,000",2020/04/02
1088,Zerodha,Gaming,chennai,Elevation,Bridge,"$1,000,000.00",2025/05/13
171,Meesho,Logistics,mumbai,"nexus partners, Tiger Global Management",Series C,"10,000,000",05/01/2021
1109,Zetwerk,EdTech,Hyderabad,falcon edge,Seed,"$18,000,000.00",2020-09-12
153,Postman,E-Commerce,NCR,"Chiratae Ventures, SAIF Partners",Series B,N/A,27/06/2025
1173,POSTMAN,Logistics,ahmedabad,accel india,Angel,,09-06-2022
706,Physicswallah,InsurTech,Bangalore,"Softbank Vision Fund, matrix partners",Angel,"USD 11,000,000",2023/12/23
987,Khatabook,Media & Entertainment,delhi,"SOFTBANK, Sequoia Capital India",Pre-Seed,N/A,01-Nov-2024
916, Zepto ,Cleantech,Chennai,YC,Seed,"17,000,000",10/03/2022
424,Innovaccer,Gaming,gurugram,Steadview Capital,Series E,"$1,700,000",25-May-2021
1150,Swiggy,Retail Tech,noida,Kalaari Capital,Series B,Undisclosed,01-09-2023
1433,Zomato,HealthTech,Bangalore,falcon edge,Private Equity,"3,000,000",01-15-2020
687,,,,,,,
1444,Slice,FinTech,New delhi,tiger global,Series B,N/A,27-May-2020
414,Slice,Mobility,NOIDA,matrix partners,Series C,"USD 3,100,000",2023/10/21
530,FIRSTCRY,SaaS,Noida,kalaari capital,Pre-Seed,N/A,18/02/2024
778,Unacademy,Mobility,ahmedabad,"Lightspeed Venture Partners, Nexus Venture Partners",Series E,Undisclosed,2023/02/23
926,Slice,Logistics,PUNE,Elevation Capital,Series D,Undisclosed,26-May-2020
262,Byju's,InsurTech,Kolkata,tiger global,Pre-Seed,"₹1,660,000,000",20/12/2024
896,FirstCry,SaaS,Gurugram,Blume Ventures,Series B,N/A,2020-05-22
9,zomato,Real Estate Tech,Noida,"InfoEdge, Chiratae Ventures",Seed,Undisclosed,2020/10/10
506,Innovaccer,SaaS,Mumbai,SOFTBANK,Series C,,10/02/2023
404,Pine Labs,Real Estate Tech,Bangalore,"Tiger Global Management, Nexus Venture Partners",Series C,"USD 5,000,000",29-Oct-2021
1264,CARS24,E-Commerce,Hyderabad,y combinator,Series A,"$1,000,000",2020-01-19
674,ElasticRun,AI/ML,Bangalore,SoftBank,Pre-Seed,"₹2,490,000,000",
1439,VERNACULAR.AI,FoodTech,noida,Soft Bank,Pre-Seed,"$50,000,000",08-Mar-2022
1378,MobiKwik,FoodTech,Gurugram,Softbank Vision Fund,Series B,"$3,600,000.00",2023-03-08
952,CRED,FinTech,New delhi,"Elevation Capital, sequoia capital india",Series C,"$3,100,000",2022-03-15
788,ShareChat,InsurTech,Gurgaon,"Matrix Partners India, falcon edge",Pre-Seed,,03-12-2022
1227,Zerodha,SaaS,Gurgaon,"Lightspeed, tiger global",Seed,"₹3,320,000,000",11-09-2024
58,Acko,Logistics,Mumbai,"sequoia capital india, kalaari capital",Series B,N/A,20/12/2021
1097,Zerodha,SaaS,Bengaluru ,Matrix Partners India,Series D,Undisclosed,2025/09/14
221,Acko,Gaming,Delhi,"Accel Partners, YC",Bridge,N/A,2022/08/31
486,DIGIT INSURANCE,Media & Entertainment,Calcutta,"kalaari capital, Matrix Partners India",Series A,"₹58,100,000",08-May-2022
419,Mamaearth,Logistics,mumbai,"Y Combinator, Info Edge",Bridge,"2,200,000",12-25-2022
754,ZETWERK,EdTech,Mumbai,kalaari capital,Series B,"$4,700,000.00",
1321,OYO,SaaS,Bombay,blume ventures,Debt Financing,,2023/10/24
1251,CarDekho,AgriTech,Bengaluru,blume ventures,Debt Financing,"$40,000,000",01-May-2024
1252,PharmEasy,Real Estate Tech,Calcutta,Tiger Global Management,Angel,"20,000,000",2023-09-07
1089,Moglix,EdTech,delhi,Sequoia Capital,Series B,Undisclosed,
1303,Zepto,InsurTech,pune,"Kalaari, Blume",Private Equity,"USD 3,200,000",2025/06/07
907,Khatabook,AgriTech,delhi,"sequoia capital india, y combinator",Private Equity,"$1,300,000.00",07-02-2022
1161,Dunzo,HealthTech,chennai,sequoia capital india,Series E,Undisclosed,2021/03/30
858,Zerodha,EdTech,BLR,"sequoia capital india, SAIF Partners",Series E,"1,000,000",2021-07-03
